game,id,hours,metascore,userscore,wilsonscore,sdbrating,userscore_count,release_date,win,mac,linux,steam deck,captions available,co-op,co-op any,commentary available,controller support any,cross-platform multiplayer,early access,family sharing,full controller support,geforce now,has_demo,hdr available,in-app purchases,includes level editor,includes source sdk
Danganronpa V3: Killing Harmony,567640,4.566666667,80.0,84.0,84.0,82.0,16932.0,9/25/2017,x,,,,,,,,,,,x,,x,,,,,
Danganronpa: Trigger Happy Havoc,413410,22.65,82.0,96.0,96.0,94.0,25789.0,2/18/2016,x,x,x,x,,,,,,,,x,,x,,,,,
DARK SOULS™ II,236430,8.283333333,91.0,87.0,87.0,85.0,29273.0,4/25/2014,x,,,x,,,x,,,,,x,,,,,,,
DARK SOULS™ II: Scholar of the First Sin,335300,45.75,79.0,85.0,85.0,84.0,64670.0,4/1/2015,,,,x,,,x,,,,,x,,,,,,,
DARK SOULS™ III,374320,72.45,89.0,94.0,94.0,93.0,241757.0,4/11/2016,x,,,x,,,x,,,,,x,,,,,,,
Darkest Dungeon®,262060,16.18333333,84.0,91.0,91.0,90.0,116855.0,1/19/2016,x,x,x,x,,,,,,,,x,,,,,,,
DARQ: Complete Edition,433550,,,94.0,93.0,90.0,3292.0,8/15/2019,x,,,x,,,,,,,,x,,,,,,,
Darwin Project,544920,6.2,74.0,81.0,81.0,79.0,18464.0,1/13/2020,x,,,,,,x,,,,,,,x,,,x,,
Dead by Daylight,381210,174.8166667,,80.0,80.0,79.0,518903.0,6/14/2016,x,,,x,,,x,,,x,,x,,x,,,,,
Dead Cells,588650,44.3,89.0,97.0,97.0,96.0,128377.0,8/6/2018,x,x,x,x,,,,,,,,x,,x,,,,,
Dead Estate,1484720,2.416666667,,95.0,94.0,91.0,3740.0,10/19/2021,x,,,x,,,,,,,,x,,,x,,,,
Dead Island: Epidemic,222900,,,81.0,81.0,79.0,19766.0,11/20/2014,x,,,,,x,x,,,,x,,,,,,,,
Deadly Sin 2,285420,0.016666667,,92.0,83.0,79.0,50.0,7/2/2010,x,,,,,,,,,,,x,,,,,,,
Deep Rock Galactic,548430,71.21666667,85.0,97.0,97.0,96.0,226704.0,5/13/2020,x,,,x,x,,x,,,,,x,,x,,,,,
Defence Alliance 2,35420,,,38.0,35.0,40.0,882.0,10/22/2009,,,,,,,x,,,,,x,,,,,,,
Defiance,224600,0.366666667,64.0,76.0,75.0,74.0,12649.0,6/4/2014,,,,,,,x,,,,,,,,,,,,
Desktop Dungeons,226620,,82.0,88.0,86.0,83.0,1097.0,4/18/2023,x,x,x,x,,,,,,,,x,,,,,,,
Destiny 2,1085660,264.45,83.0,80.0,80.0,79.0,589485.0,10/1/2019,x,,,,,,x,,,,,,,x,,,x,,
Deus Ex: Human Revolution - Director's Cut,238010,6.583333333,91.0,92.0,92.0,90.0,22638.0,10/25/2013,x,,,x,x,,,x,,,,x,,x,,,,,
Devil May Cry 5,601150,26.61666667,89.0,95.0,95.0,93.0,80614.0,3/7/2019,x,,,x,,,x,,,,,x,,,,x,,,
DiRT 3 Complete Edition,321040,,86.0,88.0,87.0,85.0,5209.0,4/1/2015,x,x,,,,,x,,x,x,,,x,,,,,,
DiRT Rally,310560,,86.0,87.0,87.0,85.0,39330.0,12/7/2015,,,,x,,,x,,,,,x,,,,,,,
Dirty Bomb®,333930,13.45,63.0,81.0,81.0,80.0,57610.0,6/1/2015,x,,,,,,x,,,,,,,x,,,x,,
Disco Elysium - The Final Cut,632470,7.166666667,97.0,93.0,93.0,92.0,83572.0,10/15/2019,x,x,,x,,,,,,,,x,,x,,,,,
Dishonored,205100,11.05,91.0,97.0,97.0,95.0,59012.0,10/8/2012,x,,,x,,,,,,,,x,,,,,,,
Divinity: Original Sin 2 - Definitive Edition,435150,124.8333333,93.0,95.0,95.0,94.0,155176.0,9/14/2017,x,x,,x,x,,x,,,,,x,,x,,,,x,
Doki Doki Literature Club!,698780,4.15,,96.0,96.0,95.0,197733.0,9/22/2017,x,x,,x,,,,,,,,,,,,,,,
Dominion,1131620,30.76666667,,85.0,83.0,81.0,1420.0,2/1/2024,x,,,x,,,,,,x,,,,,,,,,
Don't Starve,219740,27.51666667,79.0,96.0,96.0,95.0,89752.0,4/23/2013,x,x,x,x,,,,,,,,x,,x,,,,,
Don't Starve Together,322330,16.11666667,83.0,95.0,95.0,94.0,304702.0,4/21/2016,x,x,x,x,,,x,,,,,x,,x,,,x,,
DOOM,379720,4.016666667,85.0,95.0,95.0,94.0,126745.0,5/12/2016,x,,,x,,,x,,,,,x,,,,,,,
Dorfromantik,1455840,3.4,,96.0,96.0,94.0,23565.0,4/28/2022,x,,,x,,,,,,,,x,,x,,,,,
Dota 2,570,58.91666667,90.0,81.0,81.0,81.0,2216554.0,7/9/2013,x,x,x,x,,,x,,,,,,,x,,,x,,
Dota Underlords,1046930,11.05,,82.0,82.0,81.0,90679.0,6/20/2019,x,x,x,x,,,x,,,x,,,,x,,,,,
Double Action: Boogaloo,317360,2.2,,92.0,92.0,89.0,11261.0,10/23/2014,x,,x,x,,,x,,,x,,,,,,,,x,x
Downfall - A Slay the Spire Fan Expansion,1865780,3.766666667,,97.0,96.0,93.0,3336.0,3/25/2022,x,,x,x,,,,,,,,,,,,,,,
DRAGON BALL XENOVERSE,323470,79.01666667,,89.0,89.0,87.0,15277.0,2/26/2015,x,,,x,,,x,,,,,x,,,,,,,
Dragon's Dogma: Dark Arisen,367500,9.05,81.0,88.0,88.0,86.0,33088.0,1/15/2016,x,,,x,,,,,,,,x,,,,,,,
Drawful 2,442070,,,91.0,89.0,85.0,748.0,6/20/2016,x,x,x,x,,,x,,,,,x,,,,,,,
